URL,Address,Title
https://treasure.craigslist.org/atd/d/multi-estate-antique/6446529251.html,,MULTI ESTATE ANTIQUE & COLLECTIBLE AUCTION
https://newyork.craigslist.org/mnh/tix/d/turandot-met-opera-discounted/6493464298.html,Upper West Side,Turandot - Met Opera - Discounted Tickets Available
https://newjersey.craigslist.org/for/d/complete-aromatherapy/6486320570.html,,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book
